Empresa,CNPJ
Raed Mohamed Hussein Ramadan Abed Rabbo,53.622.547/0001-95
"Associação De Juventudes, Cultura E Cidadania",06.862.289/0001-34
Atacadão Med Ltda,62.780.081/0001-47
Barros & Lima Ltda,01.793.112/0001-00
Brasil Farma,04.302.983/0001-71
Bravos Açaiteria e Salgaderia,27.072.231/0001-67
Campina Grande Convention & Visitors Bureau,05.533.303/0001-93
Carlos Augusto Vilarim De Souza,34.696.154/0001-81
Companhia Nacional De Abastecimento Conab,26.461.699/0388-20
Consultório Odontológico Crescer Ltda,32.533.586/0001-46
Davus Engenharia E Incorporações Ltda,08.784.356/0001-75
Dhf Saúde,53.481.368/0001-85
Emmily Modas,01.886.956/0001-03
Fale Fácil Apoio Administrativo Ltda,34.280.923/0001-66
G Serviço,20.796.662/0001-27
Janderson Costa Leão Lima Ltda,18.379.670/0001-26
Jandlene Michele Berto De Aquino,11.711.008/0001-82
Je Marques Construções Ltda,03.817.621/0001-50
Jose F. Da Silva Filho,26.870.244/0001-19
Júlia Bartolomeu Lima,52.771.770/0001-31
Only Construções Ltda,38.138.808/0001-02
Profia Academy Ltda,55.058.967/0001-16
Teatro Municipal Severino Cabral,76.105.600/0001-86
